Year,Variable,Value
2001,Average MLB Salary,2264403
2002,Average MLB Salary,2383235
2003,Average MLB Salary,2370000
2004,Average MLB Salary,2310000
2005,Average MLB Salary,2480000
2006,Average MLB Salary,2700000
2007,Average MLB Salary,2820000
2008,Average MLB Salary,2930000
2009,Average MLB Salary,3000000
2010,Average MLB Salary,3010000
2011,Average MLB Salary,3210000
2012,Average MLB Salary,3390000
2013,Average MLB Salary,3690000
2014,Average MLB Salary,3840000
2015,Average MLB Salary,4380000
2016,Average MLB Salary,4450000
2017,Average MLB Salary,4451000
2018,Average MLB Salary,4380000
2019,Average MLB Salary,4430000
